radar_id,radar,wfo,lat,lon,elevation,radar_type,state,full_name,asos_one,asos_two
PABC,pabc,pafc,60.79198,-161.87648,57,1,AK,Bethel,PABE,PPIT
PACG,pacg,pajk,56.85264,-135.52875,82,1,AK,Biorka Island,PASI,PAGN
PAHG,pahg,pafc,60.72598,-151.35155,108,1,AK,Kenai,PAEN,PASX
PAKC,pakc,pafc,58.67962,-156.62949,43,1,AK,King Salmon,PAKN,PAIG
PAIH,paih,pafc,59.46127,-146.30351,40,1,AK,Middleton Island,PAMD,PACV
PAEC,paec,pafg,64.51152,-165.29547,27,1,AK,Nome,PAOM,PATE
PAPD,papd,pafg,65.03508,-147.50156,825,1,AK,Pedro Dome,PAFA,PAFB
KBMX,kbmx,kbmx,33.17216,-86.76974,231,1,AL,Birmingham,KEET,KEKY
KEOX,keox,ktae,31.46054,-85.45937,163,1,AL,Fort Rucker,KDHN,KHEY
KHTX,khtx,khun,34.93048,-86.08347,566,1,AL,Huntsville,K4A6,KBGF
KMXX,kmxx,kbmx,32.53668,-85.78975,170,1,AL,Maxwell AFB,KAUO,KALX
KMOB,kmob,kmob,30.67955,-88.23988,88,1,AL,Mobile,KMOB,KBFM
KSRX,ksrx,ktsa,35.29044,-94.36192,224,1,AR,Fort Smith,KFSM,KRKR
KLZK,klzk,klzk,34.83653,-92.26219,197,1,AR,Little Rock,KORK,KLIT
KFSX,kfsx,kfgz,34.57437,-111.1984,2290,1,AZ,Flagstaff,KPAN,KSEZ
KIWA,kiwa,kpsr,33.28996,-111.66997,434,1,AZ,Phoenix,KIWA,KCHD
TPHX,tphx,kpsr,33.42058,-112.16288,331,3,AZ,TDWR Phoenix,KPHX,KGEU
KEMX,kemx,ktwc,31.89365,-110.63037,1621,1,AZ,Tucson,KTUS,KDMA
KYUX,kyux,kpsr,32.49519,-114.6567,72,1,AZ,Yuma,KYNL,KNOZ
KBBX,kbbx,ksto,39.49564,-121.63176,67,1,CA,Beale AFB,KOVE,KBAB
KEYX,keyx,kvef,35.09783,-117.56094,875,1,CA,Edwards AFB,KEHW,KMHV
KBHX,kbhx,keka,40.49863,-124.29204,766,1,CA,Eureka,KACV,KFOT
KVTX,kvtx,klox,34.41161,-119.17963,855,1,CA,Los Angeles,KCMA,KOXR
KDAX,kdax,ksto,38.50114,-121.67791,43,1,CA,Sacramento,KEDU,KSAC
KNKX,knkx,ksgx,32.91896,-117.04178,320,1,CA,San Diego,KNKX,KSEE
KMUX,kmux,kmtr,37.15556,-121.89845,1082,1,CA,San Francisco,KSJC,KE16
KHNX,khnx,khnx,36.31421,-119.63211,103,1,CA,San Joaquin Valley,KHJO,KVIS
KSOX,ksox,ksgx,33.81766,-117.63599,946,1,CA,Santa Ana Mountains,KAJO,KCNO
KVBX,kvbx,klox,34.83831,-120.39805,412,1,CA,Vandenberg AFB,,
KFTG,kftg,kbou,39.78661,-104.54572,1709,1,CO,Denver/Boulder,KCFO,KDEN
KGJX,kgjx,kgjt,39.06214,-108.21375,3078,1,CO,Grand Junction,KGJT,KRIL
KPUX,kpux,kpub,38.45964,-104.18135,1634,1,CO,Pueblo,KABH,KPUB
TDEN,tden,kbou,39.72742,-104.52649,1737,3,CO,TDWR Denver,KCFO,KDEN
KDOX,kdox,kakq,38.82574,-75.44004,49,1,DE,Dover AFB,KGED,KDOV
KEVX,kevx,kmob,30.56503,-85.92174,67,1,FL,Eglin AFB,K54J,KECP
KJAX,kjax,kjax,30.48459,-81.70189,48,1,FL,Jacksonville,KJAX,KNIP
KBYX,kbyx,kkey,24.59745,-81.70316,27,1,FL,Key West,KNQX,KEYW
KMLB,kmlb,kmlb,28.11311,-80.65357,45,1,FL,Melbourne,KMLB,KCOF
KAMX,kamx,kmfl,25.61122,-80.41267,33,1,FL,Miami,KTMB,KHST
TFLL,tfll,kmfl,26.1432,-80.34397,36,3,FL,TDWR Fort Lauderdale,KFXE,KFLL
TMIA,tmia,kmfl,25.75753,-80.49116,38,3,FL,TDWR Miami,KMIA,KTNB
TMCO,tmco,kmlb,28.34367,-81.32575,51,3,FL,TDWR Orlando International,KMCO,KISM
TTPA,ttpa,ktbw,27.85955,-82.51778,28,3,FL,TDWR Tampa Bay,KMCF,KTPF
TPBI,tpbi,kmfl,26.6879,-80.2733,40,3,FL,TDWR West Palm Beach,KPBI,KF45
KTLH,ktlh,ktae,30.39768,-84.32887,53,1,FL,Tallahassee,KTLH,K2J9
KTBW,ktbw,ktbw,27.70544,-82.40178,37,1,FL,Tampa,KMCF,KSPG
KFFC,kffc,kffc,33.36354,-84.56602,296,1,GA,Atlanta,KFFC,KHMP
KVAX,kvax,kjax,30.89025,-83.00169,100,1,GA,Moody AFB,KVAD,KHOE
KJGX,kjgx,kffc,32.67557,-83.35094,188,1,GA,Robins AFB,KWRB,KMCN
TATL,tatl,kffc,33.64661,-84.26217,327,3,GA,TDWR Atlanta,KATL,KFTY
PGUA,pgua,pgum,13.4559,144.81104,117,1,GU,Andersen AFB,PGUM,PGUA
PHKI,phki,phfo,21.89389,-159.5525,103,1,HI,Kauai,PHLI,PHBK
PHKM,phkm,phfo,20.12535,-155.77801,1208,1,HI,Kohala,PHSF,PHKO
PHMO,phmo,phfo,21.13284,-157.18013,440,1,HI,Molokai,PHMK,PHNY
PHWA,phwa,phfo,19.09498,-155.56886,445,1,HI,South Shore,PHKO,PHTO
KDMX,kdmx,kdmx,41.7312,-93.72296,333,1,IA,Des Moines,KIKV,KDSM
KDVN,kdvn,kdvn,41.61237,-90.58207,259,1,IA,Quad Cities,KDVN,KMLI
KCBX,kcbx,kboi,43.49026,-116.23613,966,1,ID,Boise,KBOI,KMAN
KSFX,ksfx,kpih,43.10558,-112.68633,1383,1,ID,Pocatello,KPIH,KIDA
KLOT,klot,klot,41.60445,-88.08451,231,1,IL,Chicago,KLOT,KJOT
KILX,kilx,kilx,40.15056,-89.33698,222,1,IL,Lincoln,KAAA,KSPI
TMDW,tmdw,klot,41.65134,-87.72955,232,3,IL,TDWR Chicago Midway,KMDW,KIGQ
TORD,tord,klot,41.79709,-87.85824,226,3,IL,TDWR Chicago O'Hare,KMDW,KORD
KVWX,kvwx,kpah,38.26038,-87.72454,191,1,IN,Evansville,KEVV,KCUL
KIWX,kiwx,kiwx,41.35867,-85.6998,321,1,IN,Fort Wayne,KGSH,KASW
KIND,kind,kind,39.7075,-86.28026,270,1,IN,Indianapolis,KIND,KEYE
TIDS,tids,kind,39.63722,-86.43547,258,3,IN,TDWR Indianapolis,KIND,K2R2
RODN,rodn,pafc,26.30781,127.90329,125,1,JP,Kadena AFB,RODN,ROTM
RKSG,rksg,pafc,37.20762,127.28575,463,1,KR,Camp Humphreys,RKSG,RKSO
RKJK,rkjk,pafc,35.92436,126.62214,58,1,KR,Kunsan AFB,RKJK,RJKB
KDDC,kddc,kddc,37.76083,-99.96887,814,1,KS,Dodge City,KDDC,KGCK
KGLD,kgld,kgld,39.36684,-101.70033,1132,1,KS,Goodland,KGLD,KCBK
TICH,tich,kict,37.50714,-97.43697,411,3,KS,TDWR Wichita,KICT,KIAB
KTWX,ktwx,ktop,38.99694,-96.23251,431,1,KS,Topeka,KMHK,KFRI
KICT,kict,kict,37.65457,-97.44312,427,1,KS,Wichita,KICT,KIAB
KHPX,khpx,kpah,36.73696,-87.28555,190,1,KY,Fort Campbell,KCKV,KHVC
KJKL,kjkl,kjkl,37.59079,-83.31299,445,1,KY,Jackson,KJKL,KCPF
KLVX,klvx,klmk,37.97528,-85.9436,253,1,KY,Louisville,KFTK,KSDF
KPAH,kpah,kpah,37.06848,-88.77232,153,1,KY,Paducah,KPAH,KM30
TSDF,tsdf,klmk,38.0459,-85.61061,222,3,KY,TDWR Louisville,KSDF,KLOU
KPOE,kpoe,klch,31.15574,-92.97607,143,1,LA,Fort Polk,KPOE,KAEX
KLCH,klch,klch,30.12532,-93.21586,41,1,LA,Lake Charles,KLCH,KUXL
KLIX,klix,klix,30.33677,-89.82545,54,0,LA,New Orleans,KASD,KMJD
KHDC,khdc,klix,30.519,-90.407,13,1,LA,New Orleans,KHDC,KASD
KSHV,kshv,kshv,32.45079,-93.84132,117,1,LA,Shreveport,KSHV,KDTN
TMSY,tmsy,klix,30.02163,-90.40331,30,3,LA,TDWR New Orleans,KMSY,KAPS
KBOX,kbox,kbox,41.95585,-71.13699,70,1,MA,Boston,KTAN,KPYM
TBOS,tbos,kbox,42.1583,-70.93343,80,3,MA,TDWR Boston,KOWD,KBOS
TADW,tadw,klwx,38.69531,-76.84489,105,3,MD,TDWR Andrews Air Force Base,KADW,KDAA
TBWI,tbwi,klwx,39.08961,-76.63018,104,3,MD,TDWR Baltimore/Wash,KBWI,KFME
TDCA,tdca,klwx,38.75902,-76.96178,105,3,MD,TDWR Washington National,KADW,KDCA
KCBW,kcbw,kcar,46.03928,-67.80636,261,1,ME,Caribou,KHUL,CEWD
KGYX,kgyx,kgyx,43.89135,-70.25642,144,1,ME,Portland,KPWM,KIWI
KDTX,kdtx,kdtx,42.69997,-83.47167,370,1,MI,Detroit,KPTK,KVLL
KAPX,kapx,kapx,44.90712,-84.7196,475,1,MI,Gaylord,KGLR,KGOV
KGRR,kgrr,kgrr,42.8939,-85.54479,266,1,MI,Grand Rapids,KGRR,KY70
KMQT,kmqt,kmqt,46.53115,-87.54829,464,1,MI,Marquette,KSAW,KP53
TDTW,tdtw,kdtx,42.11135,-83.51485,235,3,MI,TDWR Detroit,KYIP,KDTW
KDLH,kdlh,kdlh,46.83689,-92.21005,470,1,MN,Duluth,KDLH,KDYT
KMPX,kmpx,kmpx,44.84877,-93.56541,335,1,MN,Minneapolis,KFCM,KMSP
TMSP,tmsp,kmpx,44.87144,-92.93295,341,3,MN,TDWR Minneapolis,KSGS,KSTP
KEAX,keax,keax,38.81023,-94.26426,334,1,MO,Kansas City,KLXT,KLRY
